m,Method,RMSE,PICP,MPIW,Interval score,WIS (one level),Covered/evaluated model-repeat predictions,Gompertz-style residual
1,No Physics + UQ,0.4648 +/- 0.0086,1.0000 +/- 0.0000,3.1042 +/- 0.1323,3.1042 +/- 0.1323,0.5018 +/- 0.0108,380/380,0.0577 +/- 0.0359
1,Gompertz-inspired regularization lambda=1 + UQ,0.4630 +/- 0.0041,1.0000 +/- 0.0000,3.1313 +/- 0.0896,3.1313 +/- 0.0896,0.4979 +/- 0.0050,380/380,0.0309 +/- 0.0179
2,No Physics + UQ,0.4273 +/- 0.0084,1.0000 +/- 0.0000,2.8224 +/- 0.0789,2.8224 +/- 0.0789,0.4607 +/- 0.0085,380/380,0.0732 +/- 0.0143
2,Gompertz-inspired regularization lambda=1 + UQ,0.4520 +/- 0.0102,1.0000 +/- 0.0000,2.9992 +/- 0.0895,2.9992 +/- 0.0895,0.4820 +/- 0.0075,380/380,0.0483 +/- 0.0153
3,No Physics + UQ,0.4316 +/- 0.0104,1.0000 +/- 0.0000,2.5053 +/- 0.0711,2.5053 +/- 0.0711,0.4598 +/- 0.0094,380/380,0.1034 +/- 0.0164
3,Gompertz-inspired regularization lambda=1 + UQ,0.4479 +/- 0.0054,1.0000 +/- 0.0000,2.7803 +/- 0.0997,2.7803 +/- 0.0997,0.4706 +/- 0.0044,380/380,0.0571 +/- 0.0180
4,No Physics + UQ,0.4296 +/- 0.0076,1.0000 +/- 0.0000,2.6198 +/- 0.1087,2.6198 +/- 0.1087,0.4553 +/- 0.0064,380/380,0.0931 +/- 0.0127
4,Gompertz-inspired regularization lambda=1 + UQ,0.4498 +/- 0.0096,1.0000 +/- 0.0000,2.7508 +/- 0.0712,2.7508 +/- 0.0712,0.4756 +/- 0.0104,380/380,0.0569 +/- 0.0111
