Fixed lambda,RMSE improvement,ECE improvement,NLL improvement,Mean residual ratio,Interpretation
lambda=1,3/4,3/4,4/4,0.062,Cleaner reliability result; used as the main setting
lambda=10,4/4,2/4,3/4,0.039,Stronger residual reduction but less stable calibration at m=4
