Fixed lambda,RMSE improvement,Interval-score improvement,WIS improvement,Mean residual ratio,Interpretation
lambda=1,1/4,0/4,1/4,0.589,Main setting; smaller residual with more stable calibration
lambda=10,0/4,0/4,1/4,0.267,"Stronger residual reduction, but calibration/loss behavior is less uniform"
