generator,total_nodes,k,method,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,picp_mean,picp_std,mpiw_mean,mpiw_std
gompertz,5,1,adaptive_pinn,0.4285519812442103,0.013239345725054537,0.5747139724679919,0.008653751255328227,4.3271771083788755,5.761127115016322,0.4055555555555556,0.034694433324435565,0.4680136810900876,0.025917385120387736
gompertz,5,1,fixed_pinn,0.4317951009266027,0.014485775045841334,0.5760787768039798,0.0071495260959020986,4.173144610104518,5.508456590227962,0.0,0.0,0.0,0.0
gompertz,5,2,adaptive_pinn,0.23681327627896745,0.01260622704234729,0.29730182144122175,0.01505693712368546,2.7486872412081422,3.6698131682259083,0.5944444444444444,0.00962250448649373,0.5622793321270081,0.028784222057176935
gompertz,5,2,fixed_pinn,0.2003330123681937,0.0180131940714959,0.24612368761072004,0.019962699436555747,2.0888640506215714,2.7034816797334154,0.0,0.0,0.0,0.0
gompertz,5,3,adaptive_pinn,0.1834401017753149,0.02022434218575436,0.2555735189537269,0.02486584794096725,2.2754748396926843,3.0681343203531117,0.6555555555555556,0.025458753860865803,0.5084821914089842,0.049446054683922804
gompertz,5,3,fixed_pinn,0.14383212054445824,0.008804236752158804,0.17998293958338077,0.01076296893305182,1.1120314868911165,1.2134778761016192,0.0,0.0,0.0,0.0
gompertz,5,4,adaptive_pinn,0.4014712926688242,0.04536906130874287,0.4523652551315213,0.0579081631202802,0.9386944818078646,0.9235412512858622,0.08333333333333333,0.03333333333333333,0.3054195709821457,0.014052569831576376
gompertz,5,4,fixed_pinn,0.15255311820332687,0.012383268702682065,0.20918834416363494,0.013452067816336816,1.4541036149813111,1.8689293721318345,0.0,0.0,0.0,0.0
gompertz,8,1,adaptive_pinn,0.4212223241138789,0.010299848690856239,0.5776503143530606,0.009990531986674166,1.0038925790283764,0.13389261842035532,0.39999999999999997,0.04409585518440986,0.44955763656956443,0.019619631245755217
gompertz,8,1,fixed_pinn,0.42191487414141493,0.012132899788086692,0.5782827467159694,0.01167330286542613,1.00434048726479,0.12737770725494688,0.0,0.0,0.0,0.0
gompertz,8,2,adaptive_pinn,0.31574979315294577,0.008594157188043216,0.40828823174713974,0.0039476422596522506,0.814562168740551,0.14463172399759913,0.5111111111111112,0.00962250448649384,0.5283895323963628,0.043693933083212316
gompertz,8,2,fixed_pinn,0.2687458908185363,0.013636206819208203,0.3363472081771251,0.026509266229007865,0.706503198698988,0.1738630352581136,0.0,0.0,0.0,0.0
gompertz,8,3,adaptive_pinn,0.2412789541174554,0.005134763347096456,0.3024491850514217,0.00832457852298189,0.6629370864025038,0.09723588287659814,0.5833333333333334,0.033333333333333354,0.552561460492822,0.03688704540643562
gompertz,8,3,fixed_pinn,0.1912869985525807,0.008853223326204506,0.2411728545883154,0.013316655219622303,0.5439444287054115,0.023791094025988807,0.0,0.0,0.0,0.0
gompertz,8,4,adaptive_pinn,0.18643098922425674,0.008510441161329239,0.24640918146600374,0.015901729313637127,0.5518352976002688,0.020772737630256215,0.6277777777777778,0.025458753860865796,0.5261312433316682,0.04238595420502916
gompertz,8,4,fixed_pinn,0.15269628845983083,0.0019198734665497983,0.19531708940464756,0.003584939292915154,0.4220556883977156,0.019182329663311334,0.0,0.0,0.0,0.0
gompertz,8,7,adaptive_pinn,0.35203952572329184,0.05073172364061753,0.39984756858503195,0.060257002090993515,0.2895907599334322,0.04466399912934971,0.10555555555555556,0.009622504486493759,0.28923245910839696,0.01388440212875205
gompertz,8,7,fixed_pinn,0.2406368201184604,0.02224457697191732,0.27369945348688085,0.021910378898355978,0.30638641294117236,0.0687372468610087,0.0,0.0,0.0,0.0
logistic,5,1,adaptive_pinn,0.4364724911332855,0.012821238906698161,0.5841508872455058,0.008817611028263063,1.0763307735548535,0.37448710746298863,0.39999999999999997,0.03333333333333338,0.4687264994950318,0.025893956763566334
logistic,5,1,fixed_pinn,0.43965011045543684,0.014048075501248748,0.585652928038742,0.007382268923212296,1.0631997259978472,0.362589901936339,0.0,0.0,0.0,0.0
logistic,5,2,adaptive_pinn,0.25815435148610005,0.010929824213950938,0.3281655498980413,0.014985839188681866,0.6872999846556124,0.22684279508869482,0.5666666666666668,0.01666666666666662,0.5639790101574423,0.02807109519763507
logistic,5,2,fixed_pinn,0.21974809661300646,0.020803537751983417,0.2731575530126999,0.022581053378110633,0.5482215344833202,0.14151047950347087,0.0,0.0,0.0,0.0
logistic,5,3,adaptive_pinn,0.19030374402594238,0.020027707179080135,0.26716471897398414,0.024246778768517444,0.5269631488356344,0.18483268628133032,0.6388888888888888,0.02545875386086576,0.5081121625306292,0.04906250677041281
logistic,5,3,fixed_pinn,0.15436794092464778,0.008425345400181052,0.19673334010036048,0.010534745718170728,0.36545646410698707,0.01709185627958645,0.0,0.0,0.0,0.0
logistic,5,4,adaptive_pinn,0.40276219815346925,0.04569618572474992,0.4533389376532752,0.05804984923414764,0.39088440082256654,0.05039975145736692,0.07777777777777778,0.009622504486493759,0.3066756467655715,0.01445413019080292
logistic,5,4,fixed_pinn,0.15378167576466997,0.01212019416953618,0.21238509452122167,0.01344695466588972,0.37462096665750555,0.11390779374139165,0.0,0.0,0.0,0.0
logistic,8,1,adaptive_pinn,0.4291069884274879,0.010037560982468899,0.5871323669509457,0.009929840725082406,2.236151256988921,1.4458952850138098,0.4055555555555556,0.038490017945975036,0.45109707840718327,0.01977895336400826
logistic,8,1,fixed_pinn,0.429534899266178,0.011858930614066152,0.5877070611527716,0.011596447411726284,2.229911046110103,1.416182219895429,0.0,0.0,0.0,0.0
logistic,8,2,adaptive_pinn,0.3372595613797505,0.007817850878266055,0.4455822733434652,0.004050978900852918,1.9143043796655845,1.387215773614783,0.5055555555555556,0.01924500897298758,0.525649915979593,0.0413953358740718
logistic,8,2,fixed_pinn,0.29692707780826216,0.013269828746313914,0.38078000551753277,0.02504743616752916,1.6878986832769336,1.3013508646974705,0.0,0.0,0.0,0.0
