m,variant,process_std_mean,measurement_std_mean,process_to_measurement_ratio
1,latent_state_space_uq,0.8338590264320374,0.8524530331293741,0.9784671550453901
2,latent_state_space_uq,0.6484906720487695,0.6442319894568962,1.0083662549149388
3,latent_state_space_uq,0.5443824532262066,0.5499795500123711,0.9908330277805829
4,latent_state_space_uq,0.4160152882860418,0.38795977935456394,1.1117891469043146
