m,method,variant,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,picp_mean,picp_std,mpiw_mean,mpiw_std
2,adaptive,beta=1,0.2860220615529766,0.0018531142992814363,0.39183155787606816,0.01043254372900987,0.7476060252971324,0.05893810620045722,0.5333333333333334,0.0372677996249965,0.5384735187195863,0.039844087208178884
2,adaptive,beta=10,0.30370917176849516,0.009534525218192796,0.3994197042836243,0.013602108622829318,1.1114355121456527,0.1491550724759554,0.5066666666666667,0.03248931448269656,0.5356144181879546,0.04502180553338754
2,adaptive,beta=5,0.2954545488965387,0.007929876779581058,0.39136230851137577,0.007910555783912417,0.9739517894366406,0.13934189332770072,0.5166666666666667,0.0311804782231162,0.5121989039887364,0.026276937433536523
2,fixed_lambda,lambda=0,0.3042423824438204,0.0034389155225362797,0.45045542831857255,0.009797139554815652,0.5155313509970385,0.024512177115267743,0.0,0.0,0.0,0.0
2,fixed_lambda,lambda=0.1,0.3020019199730207,0.004429450979163651,0.44463918628400034,0.013340212244344363,0.5183151329032469,0.01765732088514021,0.0,0.0,0.0,0.0
2,fixed_lambda,lambda=1,0.297152636628598,0.0013783805868873185,0.4362651504168557,0.0052857546598584475,0.5161221626321238,0.03649184229519592,0.0,0.0,0.0,0.0
2,fixed_lambda,lambda=10,0.28737950016744435,0.0024068600198776384,0.40944371574187743,0.007083579509981454,0.607564692772683,0.042872647397677204,0.0,0.0,0.0,0.0
2,fixed_lambda,lambda=100,0.3356244242905329,0.014356574699591377,0.46718284416269906,0.021682709517485837,1.5113208707435255,0.1870611238041812,0.0,0.0,0.0,0.0
