m,method,variant,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,picp_mean,picp_std,mpiw_mean,mpiw_std,ece_mean,ece_std,nll_mean,nll_std,physics_residual_abs_mean,physics_residual_abs_std
1,fixed_pinn,calibrated,0.49900675791936616,0.003155073383010218,0.6462658101776271,0.0010399838820247416,2.0931799332517835,0.016251459746724768,0.85,0.033333333333333326,1.7208579778671265,0.08179913962174351,0.12144249999999998,0.022559079534512146,1.184060908954939,0.05205475023632025,0.008166223870220965,0.003780703668668468
1,fixed_pinn,raw,0.49900675791936616,0.003155073383010218,0.6462658101776271,0.0010399838820247416,2.0931799332517835,0.016251459746724768,0.0,0.0,0.0,0.0,0.6668375,0.0,208830181315.96573,672112125.9733566,0.008166223870220965,0.003780703668668468
1,no_physics,calibrated,0.5055724993751695,0.003660102959949526,0.6484670154935277,0.0010126558055807363,2.0844506376266216,0.03285412632212327,0.8466666666666667,0.021730674684008914,1.6880189657211304,0.03647070641466579,0.13392083333333332,0.012960275845829821,1.21130797427813,0.027080810682364377,0.8671932456327157,0.2254270312211047
1,no_physics,raw,0.5055724993751695,0.003660102959949526,0.6484670154935277,0.0010126558055807363,2.0844506376266216,0.03285412632212327,0.0,0.0,0.0,0.0,0.6668375,0.0,210255145267.35724,657122543.3888702,0.8671932456327157,0.2254270312211047
2,fixed_pinn,calibrated,0.28459272656279305,0.0015406589211767498,0.39842561262966886,0.005920543252260725,0.6872370910035389,0.05292235672402859,0.8633333333333333,0.013944333775567913,1.2184702396392821,0.05786782365421609,0.040245833333333335,0.004320091948609934,0.5775347324251344,0.059787976291125824,0.012005293184522632,0.003429790531310803
2,fixed_pinn,raw,0.28459272656279305,0.0015406589211767498,0.39842561262966886,0.005920543252260725,0.6872370910035389,0.05292235672402859,0.0,0.0,0.0,0.0,0.6668375,0.0,79385505519.72766,2379710592.222185,0.012005293184522632,0.003429790531310803
2,no_physics,calibrated,0.3031980493354301,0.005898279101999495,0.4433896771416716,0.013546563955842137,0.5287718759068185,0.016972534097860884,0.9,0.016666666666666687,1.5303676843643188,0.09460836098420868,0.06436083333333335,0.006708044507239894,0.6269365981751898,0.03985972409228143,1.1112769102170836,0.14052686298009368
2,no_physics,raw,0.3031980493354301,0.005898279101999495,0.4433896771416716,0.013546563955842137,0.5287718759068185,0.016972534097860884,0.0,0.0,0.0,0.0,0.6668375,0.0,98370606643.00522,5977006385.47101,1.1112769102170836,0.14052686298009368
