m,split,method,variant,n_repeats,covered_model_repeat_evaluations,total_model_repeat_evaluations,pooled_model_repeat_picp,coverage_aggregation_unit,mae_mean,mae_sd,mae_ci95_half,rmse_mean,rmse_sd,rmse_ci95_half,mape_mean,mape_sd,mape_ci95_half,picp_mean,picp_sd,picp_ci95_half,mpiw_mean,mpiw_sd,mpiw_ci95_half,ece_mean,ece_sd,ece_ci95_half,nll_mean,nll_sd,nll_ci95_half,interval_score_mean,interval_score_sd,interval_score_ci95_half,wis_1level_mean,wis_1level_sd,wis_1level_ci95_half,physics_residual_abs_mean,physics_residual_abs_sd,physics_residual_abs_ci95_half
1,calibration,deterministic,raw,10,0,0,,not_applicable_no_interval,0.4835163410684025,0.003445061984898201,0.002135271540336827,0.6062288318374991,0.016100454868799945,0.009979165315030436,3.5537374185349426,0.24976179945911864,0.154803967123433,,,,,,,,,,,,,,,,,,,,,
1,test,deterministic,raw,10,0,0,,not_applicable_no_interval,0.36694558871615873,0.014812625056751648,0.009180960127861557,0.4684525966995537,0.006259298866497126,0.003879553630872859,0.6953910343104107,0.08267234977705547,0.05124085326346732,,,,,,,,,,,,,,,,,,,,,
1,test,deterministic,calibrated,10,380,380,1.0,trajectory_by_model_repeat,0.36694558871615873,0.014812625056751648,0.009180960127861557,0.4684525966995537,0.006259298866497126,0.003879553630872859,0.6953910343104107,0.08267234977705547,0.05124085326346732,1.0,0.0,0.0,3.0607737600803375,0.1799128216605813,0.11151112215616234,,,,,,,3.0607737600803375,0.1799128216605813,0.11151112215616234,0.4952231206858816,0.0075689091011471536,0.004691258463830943,,,
1,calibration,gaussian_process,raw,10,260,270,0.9629629629629629,trajectory_by_model_repeat,0.47879466378589786,1.7295323929193011e-09,1.0719752831385879e-09,0.5919362402822224,1.91248365242006e-09,1.1853696485790957e-09,3.6577051849540303,9.937996493073849e-08,6.159634042188308e-08,0.962962962962963,1.1702778228589004e-16,7.253457094217689e-17,2.477609600264681,2.6377000460952237e-07,1.6348634262784375e-07,0.026031018518518516,3.657118196434064e-18,2.266705341943028e-18,0.8975154031361244,1.5832929798423315e-08,9.813351558527384e-09,2.8599220027009777,9.367626850650702e-08,5.8061152752468126e-08,0.5921816799247112,3.368030754335589e-09,2.0875270889863156e-09,,,
1,test,gaussian_process,raw,10,370,380,0.9736842105263158,trajectory_by_model_repeat,0.3633269166340266,2.3958926128009158e-09,1.4849896263820657e-09,0.4563467008839021,2.947866721953296e-09,1.827106723677393e-09,0.6791575062896735,1.9813450741196648e-08,1.2280503999347624e-08,0.9736842105263157,1.1702778228589004e-16,7.253457094217689e-17,2.4752545547587586,2.63637167974189e-07,1.634040096282679e-07,0.10947828947368424,0.0,0.0,0.7207328523295989,5.3261437411419784e-08,3.3011780920219467e-08,2.5757998174640195,1.242121703073446e-07,7.69875007716534e-08,0.4686827690545024,5.417485154721149e-09,3.3577920866974308e-09,,,
1,test,gaussian_process,calibrated,10,380,380,1.0,trajectory_by_model_repeat,0.3633269166340266,2.3958926128009158e-09,1.4849896263820657e-09,0.4563467008839021,2.947866721953296e-09,1.827106723677393e-09,0.6791575062896735,1.9813450741196648e-08,1.2280503999347624e-08,1.0,0.0,0.0,2.9922131002849714,4.520232926628726e-08,2.801669394116568e-08,,,,,,,2.9922131002849714,4.520232926628726e-08,2.801669394116568e-08,0.48851197299835725,8.910431375436229e-10,5.522742583877056e-10,,,
1,calibration,mc_dropout,raw,10,259,270,0.9592592592592593,trajectory_by_model_repeat,0.47794447288830344,0.005714857712548515,0.003542105507584894,0.6007038392472192,0.01287236919640966,0.007978377086476187,3.5935324129916175,0.3733576979036334,0.23140949863718063,0.9592592592592594,0.011712139482105092,0.007259259259259248,2.458117659665745,0.03374442103352594,0.020915008842768472,0.03696759259259258,0.008003686413093108,0.004960736233651034,0.9124105005497085,0.025507350661514824,0.015809619732729933,2.9715464451628035,0.13179776859365036,0.08168910329961347,0.5966874239489939,0.0052277164320840555,0.0032401722138274123,,,
1,test,mc_dropout,raw,10,370,380,0.9736842105263158,trajectory_by_model_repeat,0.36589324106746596,0.01928473434301557,0.011952802180659212,0.46778329480528036,0.011772105043732155,0.00729642629941814,0.6900982214646735,0.07411590009722002,0.04593751080757921,0.9736842105263157,1.1702778228589004e-16,7.253457094217689e-17,2.461595934360171,0.03326477052178698,0.020617718375568226,0.09964289473684211,0.018010524205796734,0.011163038555406919,0.7327921206778925,0.014095305300485323,0.008736360736735626,2.6191990630067403,0.08740656819179915,0.05417515223720245,0.47319351830266954,0.014505878517102475,0.008990836652846916,,,
1,test,mc_dropout,calibrated,10,380,380,1.0,trajectory_by_model_repeat,0.36589324106746596,0.01928473434301557,0.011952802180659212,0.46778329480528036,0.011772105043732155,0.00729642629941814,0.6900982214646735,0.07411590009722002,0.04593751080757921,1.0,0.0,0.0,3.170151889678449,0.1676204944443693,0.10389225881369016,,,,,,,3.170151889678449,0.1676204944443693,0.10389225881369016,0.49942936719179853,0.012928803531070144,0.008013355449485797,,,
1,calibration,deep_ensemble,raw,10,260,270,0.9629629629629629,trajectory_by_model_repeat,0.4759210861261279,0.003331956686478291,0.0020651681500825953,0.5928469408782742,0.004686985948151571,0.0029050239876431136,3.5883029528134927,0.16570280859403172,0.10270366480943643,0.962962962962963,1.1702778228589004e-16,7.253457094217689e-17,2.4317313527818505,0.03003521598643224,0.018616019736316457,0.0335198148148148,0.008426308683591469,0.0052226802307296085,0.8978688438503323,0.008337509837181999,0.005167642135512728,2.9196098925771685,0.06677086990262525,0.04138501392764388,0.5922872197666535,0.0017430559021465407,0.0010803572409973986,,,
