m,method,variant,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,picp_mean,picp_std,mpiw_mean,mpiw_std,ece_mean,ece_std,nll_mean,nll_std,physics_residual_abs_mean,physics_residual_abs_std
1,adaptive_pinn,uncertainty_adaptive_beta=5,0.7782211853123208,0.0019312710670583205,0.9629834893166663,0.0013839834017408785,0.9956058552985794,0.02269459819616453,0.03508771929824561,0.030386856273138196,0.05587075809896799,0.0020699794264300592,0.6492936403508772,0.018117008379230557,2370.737511812662,149.53335876558643,0.006085961178303636,0.002853350482485738
1,fixed_pinn,fixed_gompertz_lambda=10,0.77739291247634,0.0017614479247460657,0.9635661195744509,0.002213448432651051,1.0045850990082348,0.022376733599314542,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,464231466500.97394,2134001642.284909,0.005430151837994721,0.004155201020999287
1,mixture_physics_pinn,mixture_physics,0.774934873442378,0.0021877790656520723,0.9676810703518738,0.003970197866187371,1.035811048955022,0.027792674843998638,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,468208581102.80963,3837428668.2886147,0.0097889421751948,0.006916918448030273
1,mixture_physics_uq,mixture_physics_uq,0.773925274920151,0.0020193304107018677,0.9687916188208145,0.0035793285768913378,1.0326120802960952,0.02494660215875819,0.043859649122807015,0.015193428136569098,0.17922644434264953,0.014225916361144113,0.6525831140350876,0.009495892585355685,235.52158783829043,31.79630177290664,0.017989605673090103,0.008628699951968945
1,no_physics,no_physics,0.7778912971547821,0.001416253584354918,0.9629117742045832,0.001312066785080981,0.9982538183576488,0.017991522066767334,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,463600116277.762,1263537406.6749783,0.0712638241812712,0.0210116952363587
2,adaptive_pinn,uncertainty_adaptive_beta=5,0.6114908636655257,0.005896785416056507,0.7661161140803979,0.012050094836697505,1.318600759596966,0.06217033872502403,0.07894736842105263,0.0,0.2286749503889791,0.011394502628375035,0.6109164473684211,0.005697535551213461,97.15881529455828,21.17235932731321,0.006959496276877551,0.003097515348895253
2,fixed_pinn,fixed_gompertz_lambda=10,0.6065157923536996,0.0020436244362074976,0.7596960688819615,0.0010851874968733962,1.4284854362054926,0.1430720278091235,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,288569451068.42426,824081613.8162946,0.009061594069415755,0.003559479349612516
2,mixture_physics_pinn,mixture_physics,0.6122664621001795,0.005058470357575227,0.7659512529634377,0.0185377785267495,1.3584882394487312,0.1484659026373585,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,293455210689.4692,14274910969.27069,0.026065316316521907,0.020338270200515936
2,mixture_physics_uq,mixture_physics_uq,0.604096143679579,0.004051489918905928,0.7590340333531632,0.008599745294022276,1.358498671535867,0.07707289545858473,0.18421052631578946,0.02631578947368421,0.38228101281146926,0.009106531841024864,0.5484164473684211,0.005697535551213438,30.368609188489376,4.734947435599406,0.024949142644502487,0.003441375395746057
2,no_physics,no_physics,0.606515140272677,0.0016238321277175843,0.7531257430710986,0.004112789054131353,1.4810287748902784,0.02486458700308525,0.0,0.0,0.0,0.0,0.6668375000000001,0.0,283604830769.90186,3100890008.30107,0.327702143363128,0.05309201065593082
3,adaptive_pinn,uncertainty_adaptive_beta=5,0.4236427974011014,0.007373008187532866,0.5388612685624962,0.008233886357306614,0.8226946970083112,0.0632434124706375,0.1929824561403509,0.015193428136569105,0.2387227004469503,0.01764320243916196,0.5769252192982456,0.023104503843975333,39.57871552823645,6.749614352887774,0.007345752516292,0.0008050015058061361
