m,method,variant,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,picp_mean,picp_std,mpiw_mean,mpiw_std,ece_mean,ece_std,nll_mean,nll_std,physics_residual_abs_mean,physics_residual_abs_std
1,adaptive_pinn,adaptive_beta=1,0.49850766814998354,0.0023378554310548813,0.6470846816626977,0.0018825151637597113,2.071090077770646,0.0291474938785913,0.3466666666666666,0.013944333775567913,0.4363186754727115,0.02024976424788819,0.4547541666666667,0.010248644896874071,50.352219475625006,7.331536295043255,0.013575422697859375,0.004061210645184812
1,adaptive_pinn,adaptive_beta=10,0.4974235344210329,0.002442833077879585,0.6457751773884896,0.001433013031340831,2.0682429185900153,0.042406927432359846,0.35,0.0,0.49471738200006066,0.015199864228120183,0.4385041666666666,0.011840226865319025,53.70108560590393,7.392724637305118,0.006752884811557442,0.0008753835276656563
1,adaptive_pinn,adaptive_beta=5,0.49997713340177824,0.0033181288762737285,0.6465493395692341,0.0019238414011030322,2.075748671288119,0.012774544021975797,0.35,0.011785113019775776,0.45686610640729,0.011267982054862841,0.4572541666666667,0.008281086214313258,55.05184095389715,8.23604789249822,0.01004951559233163,0.0018953508125371906
1,epoch_pinn,epoch_schedule,0.4934773714436839,0.0014811239591207622,0.6445375271125716,0.00040520705790796275,2.1652776884791125,0.028090835896141503,0.0,0.0,0.0,0.0,0.6668375,0.0,207714377592.4018,261264160.991266,0.004873800993037891,0.0016467776864619091
1,fixed_pinn,fixed_lambda=0.1,0.5035643465413402,0.00395610911687233,0.6481153575135693,0.0011079920947638924,2.0959657099598394,0.035221126820404285,0.0,0.0,0.0,0.0,0.6668375,0.0,210027249368.16708,717764434.983889,0.025104798649812216,0.001943912465351388
1,fixed_pinn,fixed_lambda=1,0.5029587462265044,0.0010933581590815977,0.6478776970776299,0.000276466813896351,2.098014345945076,0.01998773830086183,0.0,0.0,0.0,0.0,0.6668375,0.0,209872785745.96973,179115182.25711325,0.018635600837322137,0.0022060037847367207
1,fixed_pinn,fixed_lambda=10,0.4966396833925198,0.0013759322856163189,0.6453574826346713,0.0004558426968114197,2.109246435729424,0.015359505120513185,0.0,0.0,0.0,0.0,0.6668375,0.0,208243223300.40915,294284133.22646236,0.009140029247432638,0.003861138893395838
1,fixed_pinn,fixed_lambda=100,0.4991416531832268,0.003938212311144806,0.6462770187411441,0.001239427034644365,2.1296225900416292,0.02665470680677305,0.0,0.0,0.0,0.0,0.6668375,0.0,208837606935.32367,800031216.423363,0.002156516617905896,0.0009511794234920642
1,inverse_adaptive_pinn,inverse_uncertainty,0.5022656396225404,0.0030066221047368035,0.647720730904614,0.0019490721906918183,2.1158578885681427,0.01974849358280424,0.32333333333333336,0.00912870929175276,0.4296759570326345,0.008272496990020127,0.47683749999999997,0.002716334335501102,53.52899471713251,9.895557026983012,0.03315720660925277,0.003996033772222652
1,no_physics,fixed_lambda=0,0.5057283729470023,0.002848439122345918,0.6486475214786929,0.001382872238768633,2.1042343277728266,0.014794074257058231,0.0,0.0,0.0,0.0,0.6668375,0.0,210372568481.58066,896803968.6779108,1.3643343570810647,0.34949462485138266
1,random_pinn,random_weight,0.49710084159237644,0.006518202467609426,0.6456500143079091,0.001986661531761581,2.1279106632077327,0.03787491988283833,0.0,0.0,0.0,0.0,0.6668375,0.0,208433549204.62183,1284172320.8435485,0.0037908695940225543,0.0019479862456285417
2,adaptive_pinn,adaptive_beta=1,0.2895086740418648,0.004651922532360837,0.40153758378286286,0.01452777020698244,0.728046141507034,0.05688203625971196,0.5633333333333332,0.041499665326629104,0.5363616421471039,0.05224783569007361,0.2955875,0.03126388580384012,9.109299619209793,2.360589164466248,0.046193137292525735,0.00624803777258654
2,adaptive_pinn,adaptive_beta=10,0.30370387294422835,0.01172385017831124,0.3983836819699743,0.018263823425435224,1.1174210068078756,0.20594914059310046,0.4833333333333334,0.031180478223116176,0.5385407742484627,0.03630140970484599,0.3268375,0.015756392000990865,13.80436357164931,6.187896118151748,0.0375903658550124,0.004415494271932183
2,adaptive_pinn,adaptive_beta=5,0.29160847900236647,0.003428950130791308,0.38684601908471206,0.007845012769271294,0.9543541683554164,0.08743054240504916,0.5333333333333333,0.04564354645876385,0.5682483276810186,0.035585333274215133,0.30225416666666666,0.020359187797595893,8.796768102228631,3.5181925943838976,0.037994383946130326,0.005095787289370791
2,epoch_pinn,epoch_schedule,0.29505001355273025,0.0027317809792260267,0.433912531967647,0.007220105585486246,0.4944112530819308,0.021014367199887318,0.0,0.0,0.0,0.0,0.6668375,0.0,94160894656.2568,3149309219.750069,0.009581173353222025,0.002542580512558255
2,fixed_pinn,fixed_lambda=0.1,0.3014243219140917,0.002294190136993426,0.4433120136263592,0.007414848622788423,0.5224893524307127,0.01825891361476524,0.0,0.0,0.0,0.0,0.6668375,0.0,98284762691.87161,3310971140.3175898,0.041356667221610466,0.010710018712235817
2,fixed_pinn,fixed_lambda=1,0.29689166985452176,0.0023444607275622397,0.4350961332828575,0.005990342649257976,0.5054903123143342,0.02345557028867314,0.0,0.0,0.0,0.0,0.6668375,0.0,94668676267.97269,2597361897.6632977,0.02240102305119815,0.007947422512808633
2,fixed_pinn,fixed_lambda=10,0.2870225863872717,0.004506515684686644,0.40038671987139357,0.009990045142179467,0.6540041040430249,0.05404174111779171,0.0,0.0,0.0,0.0,0.6668375,0.0,80194683112.56743,4020971626.723345,0.009099931989233975,0.002472514944077726
2,fixed_pinn,fixed_lambda=100,0.3315299714542925,0.004126984654281933,0.465976796014741,0.008740003130639983,1.534513212386615,0.06963804916723339,0.0,0.0,0.0,0.0,0.6668375,0.0,108597742261.07466,4065419850.9665346,0.004240347712440597,0.0005764544497032568
2,inverse_adaptive_pinn,inverse_uncertainty,0.2932770211900895,0.006049740047520438,0.4276156530410944,0.013901009365827357,0.5857099634919382,0.02188283434393012,0.5900000000000001,0.027888667551135882,0.5167095603775232,0.0197079710375407,0.2976708333333333,0.019342490647391915,7.083459624291281,1.0429395413121385,0.08275463232118838,0.01564475209873236
2,no_physics,fixed_lambda=0,0.3026889693271369,0.0018248567911419969,0.4468924439250559,0.00846092979649943,0.5164468342884294,0.03187721264733561,0.0,0.0,0.0,0.0,0.6668375,0.0,99885063138.96654,3793262535.833964,1.1797426102996442,0.17771387422553253
2,random_pinn,random_weight,0.30139713116921485,0.006054741680342385,0.405718798892084,0.014621254874487337,1.1207527279450415,0.08380232670757824,0.0,0.0,0.0,0.0,0.6668375,0.0,82389384311.96298,5988694232.400629,0.006843592587445759,0.0014706007111907596
