m,No Physics,lambda=0.1,lambda=1,lambda=10,lambda=100
1,0.0780 +/- 0.0266,0.0607 +/- 0.0215,0.0386 +/- 0.0112,0.0166 +/- 0.0051,0.0077 +/- 0.0014
2,0.0852 +/- 0.0169,0.0736 +/- 0.0093,0.0433 +/- 0.0163,0.0142 +/- 0.0037,0.0078 +/- 0.0013
3,0.0888 +/- 0.0153,0.0675 +/- 0.0113,0.0500 +/- 0.0159,0.0155 +/- 0.0028,0.0080 +/- 0.0019
4,0.0859 +/- 0.0145,0.0959 +/- 0.0213,0.0506 +/- 0.0095,0.0198 +/- 0.0059,0.0073 +/- 0.0017
