m,method,variant,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,picp_mean,picp_std,mpiw_mean,mpiw_std,ece_mean,ece_std,nll_mean,nll_std,physics_residual_abs_mean,physics_residual_abs_std
1,fixed_pinn_lambda_10_uq,calibrated,0.7761726867609012,0.00028647431689654806,0.9640214048736198,0.001424192443237033,1.013244433225655,0.01043217311157828,1.0,0.0,6.338859662386536,0.027334519217051982,0.16320635964912283,0.0037983570341422867,1.5772639805844235,0.003263298168516364,0.003735214172320244,0.0014459898354078121
1,fixed_pinn_lambda_10_uq,raw,0.7761726867609012,0.00028647431689654806,0.9640214048736198,0.001424192443237033,1.013244433225655,0.01043217311157828,0.0,0.0,0.033434181757528623,0.002064863418167927,0.6668375000000001,0.0,6637.810216894365,376.1287300923101,0.003735214172320244,0.0014459898354078121
1,no_physics_uq,calibrated,0.7761099853764417,0.0010802085417475386,0.9663561290832141,0.0016365371794929745,1.0275792108673254,0.013908581783406544,1.0,0.0,6.355619248807866,0.049115200819114496,0.16320635964912283,0.0018991785170711433,1.5798959959861227,0.005501355660582683,0.057725623640462055,0.03755577550131106
1,no_physics_uq,raw,0.7761099853764417,0.0010802085417475386,0.9663561290832141,0.0016365371794929745,1.0275792108673254,0.013908581783406544,0.0,0.0,0.05020040028213229,0.006613697905133974,0.6668375000000001,0.0,3289.3982614339966,868.4729634706382,0.057725623640462055,0.03755577550131106
2,fixed_pinn_lambda_10_uq,calibrated,0.5965860215889845,0.003548242991594892,0.7746921989012755,0.0021894133065636784,1.419657292069962,0.09468197294855882,0.9824561403508772,0.015193428136569074,3.478772306516501,0.10836172827020193,0.05887127192982458,0.004808033251636858,1.176990306562964,0.008102635819135545,0.005147978347204575,0.0010738698256210987
2,fixed_pinn_lambda_10_uq,raw,0.5965860215889845,0.003548242991594892,0.7746921989012755,0.0021894133065636784,1.419657292069962,0.09468197294855882,0.17543859649122806,0.030386856273138196,0.2485715335356521,0.016299206829731884,0.5528024122807017,0.013695171049119307,96.89997662245764,20.502524021636457,0.005147978347204575,0.0010738698256210987
2,no_physics_uq,calibrated,0.6023313799401205,0.0012106554193356614,0.7806276439914965,0.004831594231513521,1.4787233936376534,0.1736427793038655,0.9824561403508772,0.015193428136569065,3.5455756910404665,0.24219645648819293,0.06308881578947369,0.017692801797823423,1.1884584293559763,0.016943547235018064,0.3508538227411335,0.07349891966631333
2,no_physics_uq,raw,0.6023313799401205,0.0012106554193356614,0.7806276439914965,0.004831594231513521,1.4787233936376534,0.1736427793038655,0.14912280701754385,0.015193428136569091,0.23197846390417234,0.023154377149047927,0.5736357456140352,0.02984793330880751,104.03468918369731,18.95758807773794,0.3508538227411335,0.07349891966631333
3,fixed_pinn_lambda_10_uq,calibrated,0.40496833641120844,0.008199776585398121,0.53415749895599,0.010300610256563071,0.8235881810388245,0.06973343352268625,1.0,0.0,3.0946777912606325,0.09435860817156512,0.1336010964912281,0.013294249619497977,0.907918685628192,0.011600631832858992,0.01320673372083724,0.004762080034682159
3,fixed_pinn_lambda_10_uq,raw,0.40496833641120844,0.008199776585398121,0.53415749895599,0.010300610256563071,0.8235881810388245,0.06973343352268625,0.15789473684210525,0.05263157894736842,0.20233524430588115,0.009363507758768569,0.5593813596491227,0.026384231174377118,77.62080533629243,20.27451888375867,0.01320673372083724,0.004762080034682159
3,no_physics_uq,calibrated,0.4075859851452211,0.012358990099084036,0.5351444159934075,0.011420563315618313,0.8203892040457953,0.04461519087719368,1.0,0.0,3.2106890203465963,0.07955670321037403,0.1412765350877193,0.007596714068284573,0.9285369681426463,0.020099821102270106,0.44755767108861416,0.06229565536550019
3,no_physics_uq,raw,0.4075859851452211,0.012358990099084036,0.5351444159934075,0.011420563315618313,0.8203892040457953,0.04461519087719368,0.20175438596491227,0.030386856273138196,0.22225264292557545,0.005826168869674141,0.5473199561403509,0.012453746372369024,44.14141633320852,7.463064408898851,0.44755767108861416,0.06229565536550019
4,fixed_pinn_lambda_10_uq,calibrated,0.3472283488046379,0.003075035549274285,0.43109944710867887,0.002321416150904051,0.6602384876680557,0.017384688079206966,1.0,0.0,2.945262876848829,0.05161820449559342,0.16759232456140358,0.0037983570341422867,0.7968630224469289,0.012309822319463122,0.02139296282926435,0.005921590447776734
4,fixed_pinn_lambda_10_uq,raw,0.3472283488046379,0.003075035549274285,0.43109944710867887,0.002321416150904051,0.6602384876680557,0.017384688079206966,0.21052631578947367,0.026315789473684202,0.2671064016227447,0.02305336770888967,0.5670567982456141,0.005024754051486707,25.656389987326843,5.90501558878838,0.02139296282926435,0.005921590447776734
4,no_physics_uq,calibrated,0.35857880589683955,0.014386286098948492,0.44080499088458686,0.01152270499486939,0.7450348887815063,0.054229184264006504,1.0,0.0,2.8499855508817986,0.038926666880834945,0.14456600877192985,0.01982800583336089,0.7838810398050741,0.008462181350842842,0.457372711355346,0.05150537918256241
4,no_physics_uq,raw,0.35857880589683955,0.014386286098948492,0.44080499088458686,0.01152270499486939,0.7450348887815063,0.054229184264006504,0.16666666666666666,0.040198032411893334,0.24832745794591846,0.016152245546854828,0.5846006578947368,0.02483498169496955,30.128184725287543,6.416645097280781,0.457372711355346,0.05150537918256241
