m,method,analysis,N_test_trajectories,N_test_patients,rmse_mean,rmse_ci95_low,rmse_ci95_high,RMSE,mae_mean,mae_ci95_low,mae_ci95_high,MAE,picp_mean,picp_ci95_low,picp_ci95_high,PICP,mpiw_mean,mpiw_ci95_low,mpiw_ci95_high,MPIW,ece_mean,ece_ci95_low,ece_ci95_high,ECE,nll_mean,nll_ci95_low,nll_ci95_high,NLL,physics_residual_abs_mean,physics_residual_abs_ci95_low,physics_residual_abs_ci95_high,PHYSICS_RESIDUAL_ABS
1,Deterministic,pooled test,38,26,0.9661684451016809,0.8471115658409192,1.0705525250931214,0.9662 (0.8471-1.0706),0.7754202994861101,0.6743857240251598,0.8725658765568964,0.7754 (0.6744-0.8726),1.0,1.0,1.0,1.0000 (1.0000-1.0000),6.376651796201865,6.376651796201865,6.376651796201865,6.3767 (6.3767-6.3767),0.1653993421052632,0.13556860418524694,0.19512975328822552,0.1654 (0.1356-0.1951),1.5818863288013087,1.542569408496281,1.6233570418991417,1.5819 (1.5426-1.6234),0.033346787161168026,0.033346787161168026,0.03334678716116803,0.0333 (0.0333-0.0333)
2,MC Dropout,pooled test,38,26,0.7578011267076445,0.6646924444734674,0.8240418955296479,0.7578 (0.6647-0.8240),0.6067057408640782,0.5227788639580444,0.6797724644955826,0.6067 (0.5228-0.6798),0.9824561403508771,0.9569680249009621,1.0,0.9825 (0.9570-1.0000),3.9119121417269382,3.686347478565573,4.105560738604276,3.9119 (3.6863-4.1056),0.07999890350877194,0.06350015231577733,0.12007707665598293,0.0800 (0.0635-0.1201),1.2135263868952664,1.107461947204091,1.297925232092156,1.2135 (1.1075-1.2979),0.010876024710471749,0.008952008121950733,0.012615513423551833,0.0109 (0.0090-0.0126)
3,Deep Ensemble,pooled test,38,26,0.5361417348544797,0.4455386655637825,0.6092828875178531,0.5361 (0.4455-0.6093),0.4146531481949384,0.34095048872732286,0.48693789836468315,0.4147 (0.3410-0.4869),1.0,1.0,1.0,1.0000 (1.0000-1.0000),3.3357842995885125,3.259717010559446,3.431425872584261,3.3358 (3.2597-3.4314),0.1423730263157895,0.10211626374965191,0.18768957950996493,0.1424 (0.1021-0.1877),0.9598375662060429,0.8983204675314179,1.0214510962427856,0.9598 (0.8983-1.0215),0.3209262856519198,0.2781962714576094,0.3566574747621233,0.3209 (0.2782-0.3567)
4,MC Dropout,pooled test,38,26,0.4253123499017936,0.3667817805221614,0.48615607032306735,0.4253 (0.3668-0.4862),0.33867274971135575,0.2911482450412912,0.3944119764367327,0.3387 (0.2911-0.3944),1.0,1.0,1.0,1.0000 (1.0000-1.0000),3.09267690488428,2.8912862249932663,3.317061580268298,3.0927 (2.8913-3.3171),0.15224144736842107,0.11743680400279904,0.18778651807700786,0.1522 (0.1174-0.1878),0.8232549119091469,0.7499930150051757,0.9017564513790761,0.8233 (0.7500-0.9018),0.03702543275352647,0.03322642411488642,0.040943735939528485,0.0370 (0.0332-0.0409)
