m,method,variant,N_test_trajectories,N_test_patients,rmse_mean,rmse_ci95_low,rmse_ci95_high,RMSE,mae_mean,mae_ci95_low,mae_ci95_high,MAE,picp_mean,picp_ci95_low,picp_ci95_high,PICP,mpiw_mean,mpiw_ci95_low,mpiw_ci95_high,MPIW,ece_mean,ece_ci95_low,ece_ci95_high,ECE,nll_mean,nll_ci95_low,nll_ci95_high,NLL,physics_residual_abs_mean,physics_residual_abs_ci95_low,physics_residual_abs_ci95_high,PHYSICS_RESIDUAL_ABS
4,Deterministic,raw,38,26,0.4389945978941853,0.3783750172993195,0.5013332443956331,0.4390 (0.3784-0.5013),0.3578938493390747,0.3102877767412103,0.4118303594155715,0.3579 (0.3103-0.4118),,,,,,,,,,,,,,,,,0.4364661469432883,0.3755574153724571,0.500883604275113,0.4365 (0.3756-0.5009)
4,MC Dropout,raw,38,26,0.4253123499017936,0.3619950098729193,0.48607575002429787,0.4253 (0.3620-0.4861),0.33867274971135575,0.2908793594715651,0.3914453675787682,0.3387 (0.2909-0.3914),0.2894736842105263,0.20315096657008425,0.3691137210032754,0.2895 (0.2032-0.3691),0.3423622845306485,0.32060205713509526,0.3654787078482079,0.3424 (0.3206-0.3655),0.5056532894736842,0.4535528063603017,0.5587885829518002,0.5057 (0.4536-0.5588),14.242712897882503,9.940794912954635,19.39899045493651,14.2427 (9.9408-19.3990),0.03702543275352647,0.03364618137235364,0.041032635071558445,0.0370 (0.0336-0.0410)
4,Deep Ensemble,raw,38,26,0.4275056388699358,0.36329193386104663,0.48462551210213123,0.4275 (0.3633-0.4846),0.34469171057275516,0.2946196170939423,0.3990989807688204,0.3447 (0.2946-0.3991),0.9824561403508772,0.952444962752126,1.0,0.9825 (0.9524-1.0000),2.333535493835664,2.297757220639038,2.370884746562458,2.3335 (2.2978-2.3709),0.09851337719298248,0.0695311845451518,0.14153837870470137,0.0985 (0.0695-0.1415),0.6621427141492816,0.586666084294778,0.7399908299215698,0.6621 (0.5867-0.7400),0.5026075718927511,0.43268270588250624,0.571449932460829,0.5026 (0.4327-0.5714)
4,Residual Gaussian,raw,38,26,0.4275253785624627,0.36804102934004623,0.4899540966288327,0.4275 (0.3680-0.4900),0.33779375609664014,0.2946998994199304,0.3917752513478219,0.3378 (0.2947-0.3918),0.9824561403508772,0.9522743055555556,1.0,0.9825 (0.9523-1.0000),2.4213645126045833,2.421364512604583,2.4213645126045833,2.4214 (2.4214-2.4214),0.11715635964912281,0.08332685051843318,0.1547093251776766,0.1172 (0.0833-0.1547),0.6767176133180479,0.6170991508507675,0.7560644665644703,0.6767 (0.6171-0.7561),0.42695290468336,0.3687669818214558,0.4893809358208513,0.4270 (0.3688-0.4894)
4,Deterministic,calibrated,38,26,0.4389945978941853,0.3802945499092387,0.5027744325913607,0.4390 (0.3803-0.5028),0.3578938493390747,0.3110742211775937,0.4128049045372848,0.3579 (0.3111-0.4128),1.0,1.0,1.0,1.0000 (1.0000-1.0000),2.8381161093711853,2.8381161093711853,2.8381161093711853,2.8381 (2.8381-2.8381),0.1467589912280702,0.11559916677190393,0.18015952749423556,0.1468 (0.1156-0.1802),0.7811812071971304,0.7347190289949451,0.8393048572286401,0.7812 (0.7347-0.8393),0.4364661469432883,0.3763883556342123,0.4946510331979741,0.4365 (0.3764-0.4947)
4,MC Dropout,calibrated,38,26,0.4253123499017936,0.36396590839308995,0.48430728238640014,0.4253 (0.3640-0.4843),0.33867274971135575,0.28924681334322266,0.390890055499438,0.3387 (0.2892-0.3909),1.0,1.0,1.0,1.0000 (1.0000-1.0000),3.09267690488428,2.8916515543265278,3.294587268460394,3.0927 (2.8917-3.2946),0.15224144736842107,0.11868791684427395,0.1863475173599452,0.1522 (0.1187-0.1863),0.8232549119091469,0.7454665526863731,0.8986469579246682,0.8233 (0.7455-0.8986),0.03702543275352647,0.03324721332511285,0.04110517691938493,0.0370 (0.0332-0.0411)
4,Deep Ensemble,calibrated,38,26,0.4275056388699358,0.3657676022652593,0.4879634775941936,0.4275 (0.3658-0.4880),0.34469171057275516,0.2976629420258122,0.40005319835395325,0.3447 (0.2977-0.4001),1.0,1.0,1.0,1.0000 (1.0000-1.0000),2.8170427157158056,2.773249130440697,2.868182448808114,2.8170 (2.7732-2.8682),0.15662741228070176,0.12467954565528097,0.1894397540121769,0.1566 (0.1247-0.1894),0.7668391876562327,0.7157157134431184,0.8247587021127211,0.7668 (0.7157-0.8248),0.5026075718927511,0.4297571367472048,0.5715053732634496,0.5026 (0.4298-0.5715)
4,Residual Gaussian,calibrated,38,26,0.4275253785624627,0.3662411901145467,0.48658332991334957,0.4275 (0.3662-0.4866),0.33779375609664014,0.2913567453093368,0.392137623388403,0.3378 (0.2914-0.3921),1.0,1.0,1.0,1.0000 (1.0000-1.0000),2.932287573814392,2.932287573814392,2.932287573814392,2.9323 (2.9323-2.9323),0.1675949561403509,0.13631517664486117,0.1967494354698307,0.1676 (0.1363-0.1967),0.7921460009801814,0.7491971175269949,0.8428647667208709,0.7921 (0.7492-0.8429),0.42695290468336,0.36683518598587866,0.4896197134239924,0.4270 (0.3668-0.4896)
