m,method,mae_mean,mae_std,rmse_mean,rmse_std,picp_mean,mpiw_mean,ece_mean,ece_std,nll_mean,nll_std
1,gompertz_fit,0.8734102996778527,0.1039678240818278,1.1114712332396044,0.11934129086148969,0.9827000328596073,5.8384941140661635,0.10047269766027403,0.04214658081959484,1.6043096637565128,0.07603277920688827
1,log_linear,0.8734102996778527,0.1039678240818278,1.1114712332396044,0.11934129086148969,0.9827000328596073,5.8384941140661635,0.10047269766027403,0.04214658081959484,1.6043096637565128,0.07603277920688827
1,multi_soft_oracle_fit,0.8734102996778527,0.1039678240818278,1.1114712332396044,0.11934129086148969,0.9827000328596073,5.8384941140661635,0.10047269766027403,0.04214658081959484,1.6043096637565128,0.07603277920688827
1,persistence,0.8734102996778527,0.1039678240818278,1.1114712332396044,0.11934129086148969,0.9827000328596073,5.8384941140661635,0.10047269766027403,0.04214658081959484,1.6043096637565128,0.07603277920688827
1,multimech_feature_ridge_direct,0.8769084712143517,0.10733278426216224,1.115316603470927,0.12335324495249735,0.9805723732851392,5.935919125034316,0.1015005787706795,0.04524069551213872,1.6123562937840112,0.07673903117951232
1,multimech_residual_ridge_over_gompertz,0.8769084712143517,0.10733278426216224,1.115316603470927,0.12335324495249735,0.9805723732851392,5.935919125034316,0.1015005787706795,0.04524069551213872,1.6123562937840112,0.07673903117951232
2,persistence,0.7052976615513535,0.11794859097794719,0.8725528561661126,0.14037391654255726,0.9843718388128201,4.824634895187041,0.1080071819800158,0.05650627254259561,1.3931499174648927,0.15915756364940686
2,multimech_residual_ridge_over_gompertz,0.7158318915158558,0.110263803218938,0.8886979439021003,0.13132370070920696,0.9869322940048543,4.834986026806666,0.09300392039191603,0.05203454979124917,1.3878462087454622,0.18321478602235897
2,multimech_feature_ridge_direct,0.7159538023198149,0.10933794298508556,0.8943315907495389,0.1361747405710938,0.9896349967075568,4.912318204694275,0.1023217293669478,0.052672132275869296,1.3992062738260902,0.17380019064904978
2,gompertz_fit,0.7106204789245394,0.12115817235127016,0.9052768018742068,0.15641677554896352,0.9769810213436152,5.449545139978777,0.13240020585625606,0.07043718687484524,1.4939154109939763,0.19318175021930903
2,multi_soft_oracle_fit,0.9234948142323642,0.1263677393699506,1.2541659370613067,0.22806748898507015,0.9722217828217786,8.074453535458087,0.16048816957417414,0.07627971582565686,1.9114234406309862,0.26467040859785723
2,log_linear,1.6572906387520163,0.20097764867023918,2.2755767101879485,0.4315753815476645,0.9644814861341136,14.08526178198612,0.16192370435524223,0.07041841029502835,2.5180977685867556,0.34694041687724814
3,persistence,0.5497344791099881,0.09081627477983326,0.7047820872856958,0.1155994941246259,0.9931131019036954,3.966882625997858,0.11673924285592148,0.048469997639041834,1.1734613164405903,0.17510149213546636
3,multimech_feature_ridge_direct,0.6080795319047277,0.09248312625793237,0.7805814765828945,0.121692183756005,0.9931131019036954,4.5433903216383325,0.12309501586551382,0.045634035765389026,1.2936514607311358,0.14756139920286607
3,multimech_residual_ridge_over_gompertz,0.6219235325200576,0.08788921399742551,0.8024272554725898,0.12285289136066928,0.9931131019036954,4.8425562212600415,0.13075274173255863,0.04903524194455717,1.341224554343848,0.16217132249861566
3,gompertz_fit,0.6272246434937468,0.10437929643528987,0.8205889127957512,0.1602193113478654,0.9842530285541689,4.987607216494287,0.14109913908514257,0.04696605488965864,1.3641535239585392,0.16821320006017765
3,multi_soft_oracle_fit,0.6433487579258146,0.10998604774439662,0.84740433180999,0.1748847210594088,0.9842530285541689,5.421966843878241,0.1556043566620562,0.044879585829080706,1.428243257440105,0.16636939031502188
3,log_linear,1.1264831293423017,0.2158252135502813,1.5056154224625349,0.34554228189748715,0.9793386326635526,9.433578273671646,0.14981631816252455,0.06931489172286825,2.017696658876042,0.13714968266130756
4,persistence,0.4480106614514698,0.05889479437831463,0.5594450676810137,0.08624022485677506,0.9662342025275956,3.357578346077986,0.12788583362293504,0.07607547659836059,1.0093868244764193,0.17253031057175047
4,multimech_feature_ridge_direct,0.46865651947452375,0.0829574311817741,0.6094792847101995,0.17996987197518308,0.9755576405072486,2.986763819071057,0.09891324513118811,0.05265715829745883,1.0175216782768657,0.27817928428427346
4,gompertz_fit,0.47920079825387596,0.0799801996807779,0.620165842902571,0.10562436290907344,0.9731211006239002,3.446119848295742,0.12288868517014633,0.06327203899386602,1.0823134686164095,0.09383113858972134
4,multimech_residual_ridge_over_gompertz,0.4747310911403601,0.09189597960884746,0.6232791374592107,0.1837050081752503,0.968670742410944,3.000689766577973,0.10161514740961468,0.05364832761519808,1.0428010548431346,0.28242443770301356
4,multi_soft_oracle_fit,0.477920184908151,0.08804154467500465,0.6252102933559274,0.120101664252495,0.9709934410494322,3.9592189948567347,0.14609136969417633,0.07947730904517168,1.169376117728008,0.17319691494277947
4,log_linear,0.7449704857850261,0.13979978079291713,0.9433649483492959,0.20475639909996426,0.9580852360919551,6.316683649608036,0.13140564921141565,0.10901840730113502,1.620409265069019,0.33623775574699655
