m,variant,lambda_phys,tau,calibration,mae_mean,mae_std,rmse_mean,rmse_std,picp_mean,picp_std,mpiw_mean,mpiw_std,ece_mean,ece_std,nll_mean,nll_std,physics_residual_abs_mean,physics_residual_abs_std
1,no_physics,0.0,1.0,calibrated,0.775485680536612,0.000709700991186779,0.9634256610340023,0.00016036654989314448,1.0,0.0,6.337464017172654,0.007987761562753461,0.16320635964912283,0.0018991785170711394,1.576898429487434,0.0008231153009335176,0.021271171358724434,0.009684904057670817
1,mapp,0.1,1.0,calibrated,0.7757260828981535,0.00018284042908321468,0.9635009243325533,0.0008561372734929032,1.0,0.0,6.340188559144735,0.018805049192234823,0.16210986842105266,0.0032894736842105365,1.5772046578556136,0.0016719965303055085,0.0011230367235839367,0.0006821768989638926
1,mapp,0.1,3.0,calibrated,0.7753613998035066,0.0007824441214205035,0.9635207716283576,0.0016910205549818408,1.0,0.0,6.359189422180255,0.012803688300397704,0.16210986842105266,0.0032894736842105365,1.5791433277,0.0018680264482165815,0.0036583757416034737,0.0020195120148489235
1,mapp,10.0,0.03,calibrated,0.7763589207458783,0.0004623343006973206,0.9637390768945227,0.000453694683901764,1.0,0.0,6.330821964889765,0.0021702642603422476,0.16101337719298248,0.0018991785170711514,1.576338444699538,5.444027080466843e-05,0.001573703542817384,0.0007747011523562545
1,mapp,10.0,1.0,calibrated,0.7758003824488505,0.00017600740216171877,0.9638831146889562,0.0006608901619199428,1.0,0.0,6.346713177859783,0.009638155843201827,0.1653993421052632,0.0,1.5780080541746233,0.0009437198727546665,0.00218973052687943,0.00023340941874165562
1,mapp,10.0,3.0,calibrated,0.7764699719682859,0.0004473841356625566,0.9640192802805903,0.0006266951970366979,1.0,0.0,6.339312803000212,0.008921008377687533,0.16210986842105266,0.0,1.577304949293848,0.0011340218503398272,0.0012879288018060227,0.0004497704758773377
1,mapp,10.0,0.01,calibrated,0.7761247291376717,0.0010423677329394593,0.9640709267094473,0.0006218824549215124,1.0,0.0,6.327587487176061,0.011142640858829114,0.16210986842105266,0.0032894736842105365,1.5761325645493809,0.0010151322535317752,0.0028429131877298155,0.0018378357247366556
1,mapp,0.1,0.01,calibrated,0.776098095885429,0.0004899176683574065,0.964192449067618,0.0006993029004342414,1.0,0.0,6.3400917785863085,0.005275804409088328,0.164302850877193,0.0018991785170711433,1.5774482860725072,0.0006770110250785028,0.0015348442442094286,0.0015246789833452145
1,mapp,0.1,0.03,calibrated,0.7764470743244155,0.0005384032059658269,0.9642901795964889,0.0006594039614940594,1.0,0.0,6.3408472302059335,0.010871901187269668,0.164302850877193,0.0018991785170711433,1.5775607805790586,0.0013213158283597707,0.0006074712728150189,0.0003138523193937678
1,fixed_gompertz,10.0,1.0,calibrated,0.775865361870577,0.00029489780530894574,0.9643358574855622,0.0005873437855782504,1.0,0.0,6.341105348120133,0.0047951178833347185,0.16320635964912283,0.0018991785170711514,1.5776041419144125,0.0006400294781317943,0.0004419075946013133,0.00047455660172933205
1,mapp,1.0,0.3,calibrated,0.7759736681912551,0.0009883444837125233,0.9643441345305727,0.0003704066131070024,1.0,0.0,6.346879267444213,0.009664474675518338,0.16210986842105266,0.0032894736842105365,1.578194493677226,0.0009046114664904947,0.002550497961541017,0.001231464052550621
1,mapp,10.0,0.1,calibrated,0.7760598348257574,0.0008741728755172053,0.964347659921171,0.0010047359105368274,1.0,0.0,6.336812246590853,0.007676226988738421,0.16320635964912283,0.0018991785170711394,1.577171738056771,0.0011423875889876123,0.0020670993253588676,0.0003940962385792177
