m,lambda_phys,tau,repeat,w_gompertz_mean,w_logistic_mean,w_exponential_mean,top_gompertz_frac,top_logistic_frac,top_exponential_frac
1,0.1,0.01,2.0,0.3339870274066925,0.33245741327603656,0.33355552951494855,0.6666666666666666,0.0,0.3333333333333333
1,1.0,0.01,2.0,0.33369898796081543,0.3324201504389445,0.33388084173202515,0.3333333333333333,0.0,0.6666666666666666
1,10.0,0.01,2.0,0.3891917864481608,0.3883253335952759,0.22248285290121808,0.6666666666666666,0.0,0.3333333333333333
1,0.1,0.03,2.0,0.33340729276339215,0.33308711647987366,0.3335055907567342,0.0,0.0,1.0
1,1.0,0.03,2.0,0.3335023820400238,0.33294224739074707,0.3335553805033366,0.3333333333333333,0.0,0.6666666666666666
1,10.0,0.03,2.0,0.33343862493832904,0.3331209520498912,0.3334404428799947,0.3333333333333333,0.0,0.6666666666666666
1,0.1,0.1,2.0,0.33336126804351807,0.3332672417163849,0.33337148030598956,0.3333333333333333,0.0,0.6666666666666666
1,1.0,0.1,2.0,0.3334002395470937,0.33321236570676166,0.3333873947461446,0.6666666666666666,0.0,0.3333333333333333
1,10.0,0.1,2.0,0.3333691755930583,0.3332562545935313,0.33337454001108807,0.3333333333333333,0.0,0.6666666666666666
1,0.1,0.3,2.0,0.333355575799942,0.333294540643692,0.3333498736222585,0.6666666666666666,0.0,0.3333333333333333
1,1.0,0.3,2.0,0.3333459794521332,0.3333015243212382,0.33335253596305847,0.3333333333333333,0.0,0.6666666666666666
1,10.0,0.3,2.0,0.333347628513972,0.33330703775087994,0.33334531386693317,0.6666666666666666,0.0,0.3333333333333333
1,0.1,1.0,2.0,0.33333707849184674,0.3333294292291005,0.33333351214726764,0.3333333333333333,0.0,0.6666666666666666
1,1.0,1.0,2.0,0.3333352208137512,0.33332643906275433,0.3333383599917094,0.0,0.0,1.0
1,10.0,1.0,2.0,0.3333372672398885,0.333325336376826,0.3333373963832855,0.6666666666666666,0.0,0.3333333333333333
1,0.1,3.0,2.0,0.3333347241083781,0.33332908153533936,0.3333362241586049,0.0,0.0,1.0
1,1.0,3.0,2.0,0.3333347638448079,0.3333301941553752,0.333335022131602,0.3333333333333333,0.0,0.6666666666666666
1,10.0,3.0,2.0,0.33333444595336914,0.33333104848861694,0.3333345055580139,0.6666666666666666,0.0,0.3333333333333333
1,0.1,10.0,2.0,0.333333820104599,0.3333323697249095,0.3333337704340617,0.3333333333333333,0.0,0.6666666666666666
1,1.0,10.0,2.0,0.33333393931388855,0.33333219091097516,0.33333385984102887,1.0,0.0,0.0
1,10.0,10.0,2.0,0.33333367109298706,0.3333325783411662,0.33333378036816913,0.0,0.0,1.0
2,0.1,0.01,2.0,0.24611682693295892,0.36800480385621387,0.38587836855859087,0.20175438596491227,0.15789473684210528,0.6403508771929824
2,1.0,0.01,2.0,0.28842556912592016,0.3484251469112279,0.36314927616663145,0.2982456140350877,0.07017543859649122,0.6315789473684211
2,10.0,0.01,2.0,0.6637479066848755,0.3245565040647123,0.011695588922795234,0.8684210526315789,0.12280701754385964,0.008771929824561403
2,0.1,0.03,2.0,0.29132394126597777,0.3511572644898766,0.3575187989494257,0.18421052631578946,0.20175438596491227,0.6140350877192983
2,1.0,0.03,2.0,0.3899326005525756,0.38659013546349713,0.22347725953700878,0.31578947368421056,0.3684210526315789,0.3157894736842105
2,10.0,0.03,2.0,0.49171340465545654,0.4820412683521251,0.026245335970069606,0.6140350877192983,0.35964912280701755,0.02631578947368421
2,0.1,0.1,2.0,0.3340737456292437,0.3324791135495169,0.33344714134408715,0.42105263157894735,0.21052631578947367,0.3684210526315789
2,1.0,0.1,2.0,0.33438570771300996,0.3316404516236824,0.3339738388333404,0.7543859649122807,0.02631578947368421,0.21929824561403508
2,10.0,0.1,2.0,0.44448784830277427,0.4441951994310345,0.11131696088207382,0.3508771929824561,0.6491228070175439,0.0
2,0.1,0.3,2.0,0.3336472459006728,0.3329717932563079,0.3333809584902044,0.8333333333333334,0.07894736842105263,0.08771929824561403
2,1.0,0.3,2.0,0.3335769762072647,0.3328915052769477,0.3335315182543637,0.41228070175438597,0.07017543859649122,0.5175438596491229
2,10.0,0.3,2.0,0.3334782191535883,0.33305713482070387,0.3334646517770332,0.5350877192982456,0.06140350877192982,0.40350877192982454
2,0.1,1.0,2.0,0.333402485178228,0.33321886444300935,0.33337865247015364,0.5789473684210527,0.06140350877192982,0.35964912280701755
2,1.0,1.0,2.0,0.33341868927604273,0.3331999812732663,0.3333813318035059,0.850877192982456,0.03508771929824561,0.11403508771929823
2,10.0,1.0,2.0,0.33337466889306117,0.3332527755645283,0.33337255292817164,0.6754385964912281,0.10526315789473684,0.2192982456140351
2,0.1,3.0,2.0,0.3333659409953837,0.33328355064517573,0.33335051201937493,0.6578947368421052,0.05263157894736842,0.2894736842105263
2,1.0,3.0,2.0,0.3333577471866942,0.333288016287904,0.333354233911163,0.6578947368421052,0.03508771929824561,0.30701754385964913
2,10.0,3.0,2.0,0.33334667013402575,0.3333033553340979,0.3333499750547242,0.5350877192982456,0.07017543859649122,0.3947368421052631
2,0.1,10.0,2.0,0.33334401145316006,0.3333191699103305,0.3333368204664766,0.7894736842105262,0.043859649122807015,0.16666666666666666
2,1.0,10.0,2.0,0.33334063856225266,0.33332105974356335,0.3333383063998139,0.6666666666666666,0.043859649122807015,0.28947368421052627
2,10.0,10.0,2.0,0.33333782041281984,0.33332444465996924,0.33333773022158103,0.3947368421052631,0.07894736842105263,0.5263157894736842
3,0.1,0.01,2.0,0.1622260388563995,0.40060592841422354,0.4371680289245488,0.09649122807017545,0.42105263157894735,0.4824561403508772
3,1.0,0.01,2.0,0.14596354436112388,0.39070014100064315,0.46333631533279757,0.10526315789473684,0.3508771929824561,0.543859649122807
3,10.0,0.01,2.0,0.4678216121698681,0.3977634177232782,0.13441496459120364,0.7280701754385964,0.19298245614035084,0.07894736842105263
3,0.1,0.03,2.0,0.13590792664496368,0.4192001904573357,0.4448918825701664,0.06140350877192982,0.4385964912280702,0.5
3,1.0,0.03,2.0,0.20137420088455957,0.3862297404230686,0.4123960641915338,0.03508771929824561,0.10526315789473684,0.8596491228070176
3,10.0,0.03,2.0,0.5245266329301032,0.44029337674248636,0.03517999534651132,0.7631578947368421,0.23684210526315788,0.0
3,0.1,0.1,2.0,0.2925375261866863,0.35304749900834603,0.35441498275388755,0.456140350877193,0.30701754385964913,0.23684210526315788
3,1.0,0.1,2.0,0.3293422860534568,0.3329746074843825,0.33768311038351895,0.3421052631578947,0.13157894736842105,0.5263157894736842
3,10.0,0.1,2.0,0.3897127033325664,0.3874099733013856,0.2228773254290214,0.6228070175438597,0.20175438596491227,0.17543859649122806
3,0.1,0.3,2.0,0.33448720030617296,0.3323223935930352,0.33319040583936793,0.5964912280701754,0.18421052631578946,0.2192982456140351
3,1.0,0.3,2.0,0.33403390567553676,0.3322132797094814,0.33375281304643867,0.6140350877192983,0.11403508771929823,0.2719298245614035
3,10.0,0.3,2.0,0.33361808903384627,0.33280423022153083,0.33357767708468855,0.4473684210526316,0.11403508771929823,0.4385964912280702
3,0.1,1.0,2.0,0.3336362185185416,0.33304645121097565,0.3333173331461455,0.6140350877192983,0.25438596491228066,0.13157894736842105
3,1.0,1.0,2.0,0.33353161759543837,0.3330241812948595,0.33344420084827825,0.5964912280701754,0.12280701754385964,0.2807017543859649
3,10.0,1.0,2.0,0.33342202582903074,0.3331729855976607,0.3334049901418519,0.5263157894736842,0.09649122807017545,0.37719298245614036
3,0.1,3.0,2.0,0.33341959850829944,0.33325205769455224,0.3333283474570827,0.5701754385964912,0.2982456140350877,0.13157894736842105
