m,method,calibration_type,alpha,nominal_coverage,n_val,n_test,finite_sample_quantile_level,finite_sample_quantile_rank,n_repeats,q_score_mean,q_score_ci95_half,Q_SCORE,raw_picp_mean,raw_picp_ci95_half,RAW_PICP,raw_mpiw_mean,raw_mpiw_ci95_half,RAW_MPIW,calibrated_picp_mean,calibrated_picp_ci95_half,CALIBRATED_PICP,calibrated_mpiw_mean,calibrated_mpiw_ci95_half,CALIBRATED_MPIW,calibrated_ece_mean,calibrated_ece_ci95_half,CALIBRATED_ECE,calibrated_nll_mean,calibrated_nll_ci95_half,CALIBRATED_NLL,picp_wilson95_low_mean,picp_wilson95_low_ci95_half,PICP_WILSON95_LOW,picp_wilson95_high_mean,picp_wilson95_high_ci95_half,PICP_WILSON95_HIGH
2,MC Dropout,normalized_residual,0.1,0.9,27,38,0.9629629629629629,26,3,27.621515883990483,2.210666863974725,27.6215 +/- 2.2107,0.14035087719298245,0.0343859649122807,0.1404 +/- 0.0344,0.2636027776260387,0.044030481955198555,0.2636 +/- 0.0440,0.9736842105263158,0.05157894736842107,0.9737 +/- 0.0516,3.6898320538383627,0.3563492745143067,3.6898 +/- 0.3563,0.06355153508771931,0.025542754385964917,0.0636 +/- 0.0255,1.1933764330765138,0.009237221284751919,1.1934 +/- 0.0092,0.8694621829903725,0.07590677961672536,0.8695 +/- 0.0759,0.9909284681643373,0.01778020239789862,0.9909 +/- 0.0178
2,MC Dropout,normalized_residual,0.05,0.95,27,38,1.0,27,3,29.211544352727344,1.661888653224314,29.2115 +/- 1.6619,0.14035087719298245,0.0343859649122807,0.1404 +/- 0.0344,0.2636027776260387,0.044030481955198555,0.2636 +/- 0.0440,0.9824561403508771,0.03438596491228074,0.9825 +/- 0.0344,3.9119121417269387,0.48392117818782704,3.9119 +/- 0.4839,0.07999890350877194,0.042687875382464525,0.0800 +/- 0.0427,1.2135263868952662,0.024479258778948437,1.2135 +/- 0.0245,0.8811752140770427,0.05294923868685159,0.8812 +/- 0.0529,0.9951485972842358,0.009508749322897674,0.9951 +/- 0.0095
2,Deep Ensemble,normalized_residual,0.1,0.9,27,38,0.9629629629629629,26,3,1.6976999092569776,0.0020196435140436533,1.6977 +/- 0.0020,0.9824561403508772,0.017192982456140333,0.9825 +/- 0.0172,3.633920211989571,0.021152234809316856,3.6339 +/- 0.0212,0.9473684210526315,0.0,0.9474 +/- 0.0000,3.147651993611182,0.014748579724031104,3.1477 +/- 0.0147,0.035877850877192995,0.0042982456140350876,0.0359 +/- 0.0043,1.1488883954310198,0.004970465631530224,1.1489 +/- 0.0050,0.8271453786822963,1.5386906095100995e-16,0.8271 +/- 0.0000,0.9854457918527076,1.5386906095100995e-16,0.9854 +/- 0.0000
2,Deep Ensemble,normalized_residual,0.05,0.95,27,38,1.0,27,3,1.7501374898948205,0.013231820091797583,1.7501 +/- 0.0132,0.9824561403508772,0.017192982456140333,0.9825 +/- 0.0172,3.633920211989571,0.021152234809316856,3.6339 +/- 0.0212,0.9649122807017544,0.017192982456140406,0.9649 +/- 0.0172,3.2448430899985836,0.02060995100121761,3.2448 +/- 0.0206,0.03572741228070176,0.00745717743045594,0.0357 +/- 0.0075,1.1524218692817618,0.005096216345344429,1.1524 +/- 0.0051,0.8524159521210845,0.024765161970012592,0.8524 +/- 0.0248,0.9920415388270566,0.006463832034862115,0.9920 +/- 0.0065
2,Residual Gaussian,normalized_residual,0.1,0.9,27,38,0.9629629629629629,26,3,1.6351681783129581,0.041464434105852765,1.6352 +/- 0.0415,1.0,0.0,1.0000 +/- 0.0000,3.830204407239552,0.012903948484533677,3.8302 +/- 0.0129,0.9736842105263158,0.0,0.9737 +/- 0.0000,3.1954427361488342,0.07869410387649979,3.1954 +/- 0.0787,0.030140131578947373,0.009253386186570883,0.0301 +/- 0.0093,1.155242856519349,0.0039801852207350915,1.1552 +/- 0.0040,0.8650512388404787,0.0,0.8651 +/- 0.0000,0.9953394123142312,0.0,0.9953 +/- 0.0000
2,Residual Gaussian,normalized_residual,0.05,0.95,27,38,1.0,27,3,1.6599324614107314,0.029068439314081145,1.6599 +/- 0.0291,1.0,0.0,1.0000 +/- 0.0000,3.830204407239552,0.012903948484533677,3.8302 +/- 0.0129,0.9736842105263158,0.0,0.9737 +/- 0.0000,3.243904789288839,0.06088314313240366,3.2439 +/- 0.0609,0.029043640350877198,0.007154443807725869,0.0290 +/- 0.0072,1.157031541535471,0.005708313556884117,1.1570 +/- 0.0057,0.8650512388404787,0.0,0.8651 +/- 0.0000,0.9953394123142312,0.0,0.9953 +/- 0.0000
3,Deterministic,absolute_residual,0.1,0.9,27,38,0.9629629629629629,26,3,1.4017976522445679,0.034637217998930304,1.4018 +/- 0.0346,,,N/A,,,N/A,1.0,0.0,1.0000 +/- 0.0000,2.8035953044891357,0.06927443599786039,2.8036 +/- 0.0693,0.10070635964912282,0.007748772477970864,0.1007 +/- 0.0077,0.8600626076100659,0.02288770739899404,0.8601 +/- 0.0229,0.908190131774416,0.0,0.9082 +/- 0.0000,0.9999999999999999,0.0,1.0000 +/- 0.0000
3,Deterministic,absolute_residual,0.05,0.95,27,38,1.0,27,3,1.5291789751499891,0.010614334198392196,1.5292 +/- 0.0106,,,N/A,,,N/A,1.0,0.0,1.0000 +/- 0.0000,3.0583579502999783,0.021228668396784528,3.0584 +/- 0.0212,0.12702214912280704,0.011372088968610947,0.1270 +/- 0.0114,0.9030851748588845,0.011061129202836808,0.9031 +/- 0.0111,0.908190131774416,0.0,0.9082 +/- 0.0000,0.9999999999999999,0.0,1.0000 +/- 0.0000
3,MC Dropout,normalized_residual,0.1,0.9,27,38,0.9629629629629629,26,3,21.983610904733663,0.7270486656316268,21.9836 +/- 0.7270,0.18421052631578946,0.05157894736842106,0.1842 +/- 0.0516,0.25825982245794304,0.009331330579203254,0.2583 +/- 0.0093,0.9824561403508772,0.017192982456140333,0.9825 +/- 0.0172,2.8952379398547223,0.059139841727947055,2.8952 +/- 0.0591,0.10728530701754387,0.011965809376257507,0.1073 +/- 0.0120,0.8463248578505018,0.031629286492615226,0.8463 +/- 0.0316,0.8794308698184579,0.028184076716839,0.8794 +/- 0.0282,0.9968929415428208,0.0030449172880355597,0.9969 +/- 0.0030
3,MC Dropout,normalized_residual,0.05,0.95,27,38,1.0,27,3,36.29430520624117,0.973281119305469,36.2943 +/- 0.9733,0.18421052631578946,0.05157894736842106,0.1842 +/- 0.0516,0.25825982245794304,0.009331330579203254,0.2583 +/- 0.0093,1.0,0.0,1.0000 +/- 0.0000,4.784420548541242,0.2882355823065951,4.7844 +/- 0.2882,0.21693442982456143,0.011965809376257505,0.2169 +/- 0.0120,1.1705841314264018,0.04838959191360938,1.1706 +/- 0.0484,0.908190131774416,0.0,0.9082 +/- 0.0000,0.9999999999999999,0.0,1.0000 +/- 0.0000
3,Deep Ensemble,normalized_residual,0.1,0.9,27,38,0.9629629629629629,26,3,1.6326243297726206,0.06285117343708402,1.6326 +/- 0.0629,1.0,0.0,1.0000 +/- 0.0000,3.0220668895080784,0.022192242215281658,3.0221 +/- 0.0222,0.956140350877193,0.017192982456140406,0.9561 +/- 0.0172,2.5170109125700066,0.08112469665048758,2.5170 +/- 0.0811,0.05947828947368422,0.01642919697942463,0.0595 +/- 0.0164,0.8390521262806713,0.00489741346787172,0.8391 +/- 0.0049,0.8397806654016904,0.024765161970012592,0.8398 +/- 0.0248,0.9887436653398821,0.006463832034862115,0.9887 +/- 0.0065
3,Deep Ensemble,normalized_residual,0.05,0.95,27,38,1.0,27,3,2.163411436788658,0.011475626438148435,2.1634 +/- 0.0115,1.0,0.0,1.0000 +/- 0.0000,3.0220668895080784,0.022192242215281658,3.0221 +/- 0.0222,1.0,0.0,1.0000 +/- 0.0000,3.3357842995885125,0.03458180267319235,3.3358 +/- 0.0346,0.1423730263157895,0.009848517940913886,0.1424 +/- 0.0098,0.9598375662060429,0.012593572630235816,0.9598 +/- 0.0126,0.908190131774416,0.0,0.9082 +/- 0.0000,0.9999999999999999,0.0,1.0000 +/- 0.0000
3,Residual Gaussian,normalized_residual,0.1,0.9,27,38,0.9629629629629629,26,3,1.6811901906404678,0.101302399447386,1.6812 +/- 0.1013,1.0,0.0,1.0000 +/- 0.0000,3.3098503111704196,0.0018411028415077752,3.3099 +/- 0.0018,0.9912280701754387,0.017192982456140333,0.9912 +/- 0.0172,2.8390508393446603,0.17025425602618788,2.8391 +/- 0.1703,0.10289934210526318,0.012894736842105254,0.1029 +/- 0.0129,0.8755071000033502,0.03296452377558905,0.8755 +/- 0.0330,0.893810500796437,0.028184076716839004,0.8938 +/- 0.0282,0.9984464707714104,0.0030449172880355592,0.9984 +/- 0.0030
3,Residual Gaussian,normalized_residual,0.05,0.95,27,38,1.0,27,3,1.8302761418184275,0.11298950003715724,1.8303 +/- 0.1130,1.0,0.0,1.0000 +/- 0.0000,3.3098503111704196,0.0018411028415077752,3.3099 +/- 0.0018,1.0,0.0,1.0000 +/- 0.0000,3.090863134711981,0.19147028375648265,3.0909 +/- 0.1915,0.1193467105263158,0.0162255213740468,0.1193 +/- 0.0162,0.9173818943646848,0.02770054206118627,0.9174 +/- 0.0277,0.908190131774416,0.0,0.9082 +/- 0.0000,0.9999999999999999,0.0,1.0000 +/- 0.0000
4,Deterministic,absolute_residual,0.1,0.9,27,38,0.9629629629629629,26,3,1.156673103570938,0.041484161735423054,1.1567 +/- 0.0415,,,N/A,,,N/A,0.9912280701754387,0.017192982456140333,0.9912 +/- 0.0172,2.313346207141876,0.08296832347084611,2.3133 +/- 0.0830,0.09522916666666668,0.03208841191561584,0.0952 +/- 0.0321,0.6696290081699372,0.008674172621229293,0.6696 +/- 0.0087,0.893810500796437,0.028184076716839004,0.8938 +/- 0.0282,0.9984464707714104,0.0030449172880355592,0.9984 +/- 0.0030
4,Deterministic,absolute_residual,0.05,0.95,27,38,1.0,27,3,1.4190580546855924,0.09456250226410176,1.4191 +/- 0.0946,,,N/A,,,N/A,1.0,0.0,1.0000 +/- 0.0000,2.8381161093711853,0.18912500452820352,2.8381 +/- 0.1891,0.1467589912280702,0.035182656651030715,0.1468 +/- 0.0352,0.7811812071971304,0.027050486689568377,0.7812 +/- 0.0271,0.908190131774416,0.0,0.9082 +/- 0.0000,0.9999999999999999,0.0,1.0000 +/- 0.0000
4,MC Dropout,normalized_residual,0.1,0.9,27,38,0.9629629629629629,26,3,14.772549353775224,1.0438960786568148,14.7725 +/- 1.0439,0.2894736842105263,0.07878814352731094,0.2895 +/- 0.0788,0.3423622845306485,0.025257793604489934,0.3424 +/- 0.0253,0.9736842105263158,0.0,0.9737 +/- 0.0000,2.581222471098918,0.274852862852802,2.5812 +/- 0.2749,0.10838442982456142,0.0335660789309262,0.1084 +/- 0.0336,0.7284713115812508,0.06439430362144992,0.7285 +/- 0.0644,0.8650512388404787,0.0,0.8651 +/- 0.0000,0.9953394123142312,0.0,0.9953 +/- 0.0000
4,MC Dropout,normalized_residual,0.05,0.95,27,38,1.0,27,3,17.780743405210774,1.97626624476082,17.7807 +/- 1.9763,0.2894736842105263,0.07878814352731094,0.2895 +/- 0.0788,0.3423622845306485,0.025257793604489934,0.3424 +/- 0.0253,1.0,0.0,1.0000 +/- 0.0000,3.092676904884279,0.10915135636167013,3.0927 +/- 0.1092,0.15224144736842107,0.007444779786918851,0.1522 +/- 0.0074,0.8232549119091468,0.003966898363630952,0.8233 +/- 0.0040,0.908190131774416,0.0,0.9082 +/- 0.0000,0.9999999999999999,0.0,1.0000 +/- 0.0000
4,Deep Ensemble,normalized_residual,0.1,0.9,27,38,0.9629629629629629,26,3,1.8874109319906465,0.03977290185230624,1.8874 +/- 0.0398,0.9824561403508772,0.017192982456140333,0.9825 +/- 0.0172,2.333535493835664,0.052011095945350576,2.3335 +/- 0.0520,0.9736842105263158,0.0,0.9737 +/- 0.0000,2.246774781991158,0.03856012796196007,2.2468 +/- 0.0386,0.0875510964912281,0.004300826881063724,0.0876 +/- 0.0043,0.6452914995454057,0.010269113710606983,0.6453 +/- 0.0103,0.8650512388404787,0.0,0.8651 +/- 0.0000,0.9953394123142312,0.0,0.9953 +/- 0.0000
4,Deep Ensemble,normalized_residual,0.05,0.95,27,38,1.0,27,3,2.366249273938281,0.03862769570041185,2.3662 +/- 0.0386,0.9824561403508772,0.017192982456140333,0.9825 +/- 0.0172,2.333535493835664,0.052011095945350576,2.3335 +/- 0.0520,1.0,0.0,1.0000 +/- 0.0000,2.817042715715805,0.06134193247979228,2.8170 +/- 0.0613,0.15662741228070176,0.004298245614035083,0.1566 +/- 0.0043,0.7668391876562324,0.015885319295200834,0.7668 +/- 0.0159,0.908190131774416,0.0,0.9082 +/- 0.0000,0.9999999999999999,0.0,1.0000 +/- 0.0000
4,Residual Gaussian,normalized_residual,0.1,0.9,27,38,0.9629629629629629,26,3,1.8773224156252233,0.14447048583652763,1.8773 +/- 0.1445,0.9824561403508772,0.017192982456140333,0.9825 +/- 0.0172,2.4213645126045833,0.017668092265940415,2.4214 +/- 0.0177,0.9736842105263158,0.0,0.9737 +/- 0.0000,2.3195084730784097,0.18554337132864612,2.3195 +/- 0.1855,0.11057741228070178,0.023926523647134226,0.1106 +/- 0.0239,0.6565178862169883,0.03428685560096557,0.6565 +/- 0.0343,0.8650512388404787,0.0,0.8651 +/- 0.0000,0.9953394123142312,0.0,0.9953 +/- 0.0000
4,Residual Gaussian,normalized_residual,0.05,0.95,27,38,1.0,27,3,2.3736847922183584,0.15968421654440706,2.3737 +/- 0.1597,0.9824561403508772,0.017192982456140333,0.9825 +/- 0.0172,2.4213645126045833,0.017668092265940415,2.4214 +/- 0.0177,1.0,0.0,1.0000 +/- 0.0000,2.932287573814392,0.1924611410900042,2.9323 +/- 0.1925,0.1675949561403509,0.02640403619824092,0.1676 +/- 0.0264,0.7921460009801814,0.041566251549448874,0.7921 +/- 0.0416,0.908190131774416,0.0,0.9082 +/- 0.0000,0.9999999999999999,0.0,1.0000 +/- 0.0000
