repeat,m,method,method_id,calibration_type,alpha,nominal_coverage,n_val,n_calibration_patients,n_test,finite_sample_quantile_level,finite_sample_quantile_rank,q_score,score_min,score_median,score_p90,score_max,raw_rmse,raw_picp,raw_mpiw,raw_ece,raw_nll,calibrated_picp,calibrated_mpiw,calibrated_ece,calibrated_nll,covered_count,picp_wilson95_low,picp_wilson95_high,picp_patient_cluster_bootstrap95_low,picp_patient_cluster_bootstrap95_high,n_test_patients,n_cluster_bootstrap
1,1,Deterministic,deterministic,absolute_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.1697138845920563,0.018788463436067097,0.34559184312820435,1.0339934006333351,1.626662641763687,0.4679148191800786,,,,,0.9736842105263158,2.3394277691841125,,,37,0.8650512388404787,0.9953394123142312,0.9090909090909091,1.0,26,5000
1,1,Deterministic,deterministic,absolute_residual,0.05,0.95,27,19,38,1.0,19,1.626662641763687,0.018788463436067097,0.34559184312820435,1.0339934006333351,1.626662641763687,0.4679148191800786,,,,,1.0,3.2533252835273743,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
1,1,Cohort-level Feature GP,gaussian_process,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.785628985241299,0.009047386115934131,0.6235283409804825,1.5322122200243726,2.369303614600527,0.45634670061117416,0.9736842105263158,2.4752546859384372,0.10947828947368424,0.7207328772637736,0.9736842105263158,2.2550855770460703,,,37,0.8650512388404787,0.9953394123142312,0.9069767441860465,1.0,26,5000
1,1,Cohort-level Feature GP,gaussian_process,normalized_residual,0.05,0.95,27,19,38,1.0,19,2.369303614600527,0.009047386115934131,0.6235283409804825,1.5322122200243726,2.369303614600527,0.45634670061117416,0.9736842105263158,2.4752546859384372,0.10947828947368424,0.7207328772637736,1.0,2.992213081827159,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
1,1,MC Dropout,mc_dropout,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.857576336453923,0.027388901668465075,0.5767838900523958,1.5862315383346575,2.3989443456683963,0.4935144635282716,0.9736842105263158,2.4256170898860665,0.0637559210526316,0.7623311728615266,0.9736842105263158,2.2989039303841885,,,37,0.8650512388404787,0.9953394123142312,0.90625,1.0,26,5000
1,1,MC Dropout,mc_dropout,normalized_residual,0.05,0.95,27,19,38,1.0,19,2.3989443456683963,0.027388901668465075,0.5767838900523958,1.5862315383346575,2.3989443456683963,0.4935144635282716,0.9736842105263158,2.4256170898860665,0.0637559210526316,0.7623311728615266,1.0,2.9688914941487248,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
1,1,Deep Ensemble,deep_ensemble,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.7460123600268387,0.061677057525781294,0.6192825041151181,1.614894023631105,2.342793378138432,0.47721828649406345,0.9736842105263158,2.4483573034074415,0.08316250000000001,0.7414620559186134,0.9736842105263158,2.18109217681087,,,37,0.8650512388404787,0.9953394123142312,0.9090909090909091,1.0,26,5000
1,1,Deep Ensemble,deep_ensemble,normalized_residual,0.05,0.95,27,19,38,1.0,19,2.342793378138432,0.061677057525781294,0.6192825041151181,1.614894023631105,2.342793378138432,0.47721828649406345,0.9736842105263158,2.4483573034074415,0.08316250000000001,0.7414620559186134,1.0,2.9265819795591255,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
1,1,Gaussian residual-scale,bayesian_laplace,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.8510260138941124,0.00013709971510674212,0.5328521531641862,1.6170052259282683,2.546212381361956,0.4624239068373048,0.9736842105263158,2.4506456798601484,0.11934671052631583,0.7227724354299818,0.9736842105263158,2.314434826374054,,,37,0.8650512388404787,0.9953394123142312,0.9090909090909091,1.0,26,5000
1,1,Gaussian residual-scale,bayesian_laplace,normalized_residual,0.05,0.95,27,19,38,1.0,19,2.546212381361956,0.00013709971510674212,0.5328521531641862,1.6170052259282683,2.546212381361956,0.4624239068373048,0.9736842105263158,2.4506456798601484,0.11934671052631583,0.7227724354299818,1.0,3.18366277217865,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
