measurement_proxy,delta_rmse_lambda1_minus_0_mean,residual_ratio_lambda1_over_0_mean
ellipsoid_volume,0.018334472560468724,0.5178267879702472
long_axis,0.07871323725625597,0.20967442571172898
recist_area,0.05273536426317427,0.3838110380184171
