measurement_proxy,m,lambda_phys,n_seeds,rmse_mean,rmse_sd,mae_mean,mae_sd,residual_mean,residual_sd
ellipsoid_volume,4,0.0,10,0.4286320323290971,0.00750239320889971,0.34077793214666213,0.009965925735294973,0.0921711869098481,0.016901379017279592
ellipsoid_volume,4,1.0,10,0.44696650488956574,0.005939097546308646,0.35395114934562066,0.006331334465283273,0.046157979354038245,0.00780643644162337
long_axis,4,0.0,10,0.2091140092488804,0.004623811528756864,0.15196412859092417,0.005481365916216419,0.30165335453344283,0.01679530276306306
long_axis,4,1.0,10,0.28782724650513636,0.0027444945038927323,0.231053668148448,0.0022150352655082445,0.06308338443829567,0.005893804856602265
recist_area,4,0.0,10,0.31015545339449585,0.009689700479021514,0.23241793950039305,0.013362711219851008,0.19982198660738687,0.0207066649625587
recist_area,4,1.0,10,0.3628908176576701,0.005165657672243927,0.27835390486901523,0.004740305885069453,0.07581110770880223,0.005707855320299656
