m,variant,correction_gate_mean,correction_gate_std
1,anchored_correction,0.38872113823890686,0.00041618676027682525
1,anchored_correction_pinn_lambda=1,0.37137600779533386,0.08444261568445983
2,anchored_correction,0.276036989401307,0.04639004778133078
2,anchored_correction_pinn_lambda=1,0.3512315347529294,0.011734356669207675
3,anchored_correction,0.3277470513916852,0.041930555199501986
3,anchored_correction_pinn_lambda=1,0.37960596356475557,0.1174347658838259
4,anchored_correction,0.16766407033591937,0.009781818910860142
4,anchored_correction_pinn_lambda=1,0.23372155264542815,0.09521185879067363
