m,method,variant,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,picp_mean,picp_std,mpiw_mean,mpiw_std,ece_mean,ece_std,nll_mean,nll_std
1,bayesian_hmc,calibrated,0.8906808906824738,0.11691338164440719,1.1729729597262752,0.15747331206222462,3.1364718431534326,0.65320189198707,0.9800000000000001,0.02173067468400884,6.626536403044438,1.6672643957292521,0.1198291666666667,0.0703815247616715,1.6776947230614438,0.1476940259510906
1,bayesian_hmc,raw,0.8906808906824738,0.11691338164440719,1.1729729597262752,0.15747331206222462,3.1364718431534326,0.65320189198707,0.5966666666666667,0.08283182426526117,2.0146139226888,0.20626486601402658,0.2926708333333333,0.046412065900055664,4.073228649922185,0.39203100176098643
1,bayesian_laplace,calibrated,0.49973337995198863,0.004236852081848415,0.6464164032077436,0.0014787950035718448,2.1096044384597006,0.015408258120390055,0.9666666666666666,0.0,2.80038813410677,0.004393299816030417,0.056495833333333356,0.0042695628191498245,0.9919977869039209,0.0017223420671591458
1,bayesian_laplace,raw,0.49973337995198863,0.004236852081848415,0.6464164032077436,0.0014787950035718448,2.1096044384597006,0.015408258120390055,0.9666666666666666,0.0,2.80038813410677,0.004393299816030417,0.056495833333333356,0.0042695628191498245,0.9919977869039209,0.0017223420671591458
1,deep_ensemble,calibrated,0.4981701579336077,0.0011711408802859361,0.6459015229308221,0.00040524914615162953,2.111920523200781,0.015328277982149655,0.8400000000000001,0.019002923751652315,1.6802098026331513,0.03745525634551348,0.1305875,0.007597742720337683,1.204769151232126,0.025213192464249044
1,deep_ensemble,raw,0.4981701579336077,0.0011711408802859361,0.6459015229308221,0.00040524914615162953,2.111920523200781,0.015328277982149655,0.04,0.0149071198499986,0.04375697994790971,0.0077643283547672885,0.6447541666666666,0.007878196000495389,2483.5365762700053,940.890742189211
1,deterministic,calibrated,0.5071663330215961,0.002087457637152411,0.648853305614381,0.0009414223758840342,2.100806726215852,0.010047833218727216,0.8400000000000001,0.019002923751652318,1.6807011365890503,0.036262890859494454,0.1376708333333333,0.011121956512532621,1.2182091905262884,0.026631328311309196
1,deterministic,raw,0.5071663330215961,0.002087457637152411,0.648853305614381,0.0009414223758840342,2.100806726215852,0.010047833218727216,0.0,0.0,0.0,0.0,0.6668375,0.0,210505660600.89404,611119894.7590258
1,mc_dropout,calibrated,0.5011589737274917,0.005638918447561507,0.6482858433281867,0.003494008736103021,2.086067647262605,0.03894745380521686,0.8333333333333334,0.026352313834736494,1.8381748749619486,0.0976860559589076,0.10771416666666664,0.021733431908007538,1.2955447742705435,0.06721063621464911
1,mc_dropout,raw,0.5011589737274917,0.005638918447561507,0.6482858433281867,0.003494008736103021,2.086067647262605,0.03894745380521686,0.3333333333333333,0.020412414523193152,0.434312159598446,0.017023280364081166,0.46933749999999996,0.016029486718059427,54.75182258257606,4.361014409819093
2,bayesian_hmc,calibrated,0.36404788273481625,0.01053517476565209,0.4936445958566697,0.017441512224177783,1.2333801975110887,0.2186765475238888,0.8666666666666666,0.03535533905932735,1.466157929994785,0.16406804835668876,0.06727916666666667,0.03668150835987466,0.7867974220550377,0.12880099794901273
2,bayesian_hmc,raw,0.36404788273481625,0.01053517476565209,0.4936445958566697,0.017441512224177783,1.2333801975110887,0.2186765475238888,0.7333333333333333,0.02041241452319317,0.9624605963060944,0.037273537150202825,0.20155083333333335,0.03967652783587686,1.5943459828339102,0.1766632545853345
2,bayesian_laplace,calibrated,0.2840094163858642,0.0036358632587062153,0.4042034282718361,0.0023244654777964317,0.6254896758256369,0.044642496675983745,0.9033333333333333,0.007453559924999279,1.541838555735022,0.012014717514860955,0.07309750000000001,0.006944318221075095,0.5138828244851315,0.005816843099052193
2,bayesian_laplace,raw,0.2840094163858642,0.0036358632587062153,0.4042034282718361,0.0023244654777964317,0.6254896758256369,0.044642496675983745,0.9033333333333333,0.007453559924999279,1.541838555735022,0.012014717514860955,0.07309750000000001,0.006944318221075095,0.5138828244851315,0.005816843099052193
2,deep_ensemble,calibrated,0.28473211129195986,0.00110327772945624,0.4026837405913105,0.005223825428875586,0.6443167804744853,0.028825752177814194,0.86,0.009128709291752825,1.2087507830088338,0.04010199737577854,0.05216416666666666,0.002772448777204412,0.5653016246430054,0.039646311728399185
2,deep_ensemble,raw,0.28473211129195986,0.00110327772945624,0.4026837405913105,0.005223825428875586,0.6443167804744853,0.028825752177814194,0.08666666666666667,0.038005847503304595,0.05792286972453196,0.008254162801343536,0.6264208333333332,0.012201292053621922,627.1825306084107,191.78648652790304
2,deterministic,calibrated,0.3004884408755849,0.0034833187306329873,0.4412172056255274,0.011505036395007426,0.5041716087116331,0.01755906908996372,0.8866666666666667,0.007453559924999325,1.4824398279190063,0.04412306095901597,0.061417500000000014,0.003431500319750017,0.629001799742867,0.04050819890956788
2,deterministic,raw,0.3004884408755849,0.0034833187306329873,0.4412172056255274,0.011505036395007426,0.5041716087116331,0.01755906908996372,0.0,0.0,0.0,0.0,0.6668375,0.0,97389257602.08307,5045991286.712394
2,mc_dropout,calibrated,0.28840384028480237,0.006177683175252121,0.4027790522556458,0.014529957835210891,0.6293168823756179,0.033508196114552406,0.8666666666666666,0.01666666666666666,1.3752674513339687,0.03367608184057448,0.054829166666666665,0.011082863398558645,0.6049230541591191,0.020831342031938
2,mc_dropout,raw,0.28840384028480237,0.006177683175252121,0.4027790522556458,0.014529957835210891,0.6293168823756179,0.033508196114552406,0.5466666666666666,0.021730674684008817,0.5281161557912515,0.044387097968868375,0.2964208333333333,0.035824853647836295,8.910289454658066,2.0730590296993845
